Word		Original_root		Predicted_root
سے		سے		سے
پاکستانی		پاکستانی		پاکستانی
ٹیم		ٹیم		ٹیم
کے		کا		کا
حوصلے		حوصلہ		حوصلہ
بلند		بلند		بلند
ہےں		ہے		ہے
اور		اور		اور
یہ		یہ		یہ
ٹیم		ٹیم		ٹیم
اپنی		اپنا		اپنا
کامیابیوں		کامیابی		کامیابی
کا		کا		کا
سلسلہ		سلسلہ		سلسلہ
جاری		جاری		جاری
رکھنا		رکھ		رکھ
چاہتی		چاہ		چاہ
ہے		ہے		ہے
۔		۔		۔
اشرف		اشرف		اشرف
کو		کو		کو
اذلان		اذلان		اذلان
شاہ		شاہ		شاہ
ٹورنمنٹ		ٹورنمنٹ		ٹورنمنٹ
کے		کے		کا
لئے		لئے		لئے
ٹیم		ٹیم		ٹیم
مےں		مےں		مےں
شامل		شامل		شامل
نہیں		نہیں		نہیں
کیا		کر		کر
گیا		جا		جا
ہے		ہے		ہے
۔		۔		۔
انہوں		وہ		وہ
نے		نے		نے
ملیشیا		ملیشیا		ملیشیا
روانگی		روانگی		روانگی
سے		سے		سے
قبل		قبل		قبل
کہا		کہہ		کہہ
کہ		کہ		کہ
بحیثیت		بحیثیت		بحیثیت
مجموعی		مجموعی		مجموعی
ٹیم		ٹیم		ٹیم
کی		کا		کا
کارکردگی		کارکردگی		کارکردگی
مےں		مےں		مےں
بہتری		بہتری		بہتری
پیدا		پیدا		پیدا
ہو		ہو		ہو
رہی		رہ		رہ
ہے		ہے		ہے
اور		اور		اور
انہیں		وہ		وہ
NULL		null		UUll
یقین		یقین		یقین
ہے		ہے		ہے
کہ		کہ		کہ
اس		وہ		یہ
ٹورنمنٹ		ٹورنمنٹ		ٹورنمنٹ
مےں		مےں		مےں
ٹیم		ٹیم		ٹیم
کا		کا		کا
مظاہرہ		مظاہرہ		مظاہرہ
بہترین		بہترین		بہترین
رہیگا		رہ		رہیگ
۔		۔		۔
پاکستان		پاکستان		پاکستان
کا		کا		کا
پہلا		پہلا		پہلا
میچ		میچ		میچ
5		5		5
مئی		مئی		مئی
کو		کو		کو
نیوزی		نیوزی		نیوزی
لینڈ		لینڈ		لینڈ
کے		کے		کا
خلاف		خلاف		خلاف
ہوگا		ہو		ہو
۔		۔		۔
اس		وہ		یہ
کے		کے		کا
بعد		بعد		بعد
اسے		یہ		یہ
جنوبی		جنوبی		جنوبی
کوریا		کوریا		کوریا
,		,		,
برطانیہ		برطانیہ		برطانیہ
,		,		,
آسٹریلیا		آسٹریلیا		آسٹریلیا
اور		اور		اور
ہندوستان		ہندوستان		ہندوستان
سے		سے		سے
مقابلہ		مقابلہ		مقابلہ
کرنا		کر		کر
ہے		ہے		ہے
جبکہ		جبکہ		جبکہ
14		14		14
مئی		مئی		مئی
کو		کو		کو
میزبان		میزبان		میزبان
ملیشیا		ملیشیا		ملیشیا
کے		کے		کا
خلاف		خلاف		خلاف
اس		وہ		یہ
کا		کا		کا
میچ		میچ		میچ
ہوگا		ہو		ہو
۔		۔		۔
گذشتہ		گذشتہ		گذشتہ
ہفتہ		ہفتہ		ہفتہ
پاکستان		پاکستان		پاکستان
میں		میں		میں
جب		جب		جب
پاکستانی		پاکستانی		پاکستانی
ہاکی		ہاکی		ہاکی
ٹیم		ٹیم		ٹیم
کا		کا		کا
انتخاب		انتخاب		انتخاب
عمل		عمل		عمل
مےں		مےں		مےں
آیا		آ		آ
تھا		تھا		تھا
اس		وہ		یہ
وقت		وقت		وقت
تین		تین		تین
ایسے		ایسا		ایسا
کھلاڑیوں		کھلاڑی		کھلاڑی
کو		کو		کو
بھی		بھی		بھی
ٹیم		ٹیم		ٹیم
مےں		مےں		مےں
جگہ		جگہ		جگہ
دی		دے		دے
گئی		جا		جا
جن		جو		جو
کے		کا		کا
تعلق		تعلق		تعلق
سے		سے		سے
شبہ		شبہ		شبہ
تھا		تھا		تھا
کہ		کہ		کہ
وہ		وہ		وہ
ہندوستان		ہندوستان		ہندوستان
مےں		مےں		مےں
باغی		باغی		باغی
ہاکی		ہاکی		ہاکی
لیگ		لیگ		لیگ
مےں		مےں		مےں
شمولیت		شمولیت		شمولیت
کے		کے		کا
لئے		لئے		لئے
تیار		تیار		تیار
تھے		تھا		تھا
۔		۔		۔
سینئر		سینئر		سینئر
کھلاڑی		کھلاڑی		کھلاڑی
شکیل		شکیل		شکیل
عباسی		عباسی		عباسی
کو		کو		کو
ٹیم		ٹیم		ٹیم
کا		کا		کا
نائب		نائب		نائب
کپتان		کپتان		کپتان
مقرر		مقرر		مقرر
کیا		کر		کر
گیا		جا		جا
ہے		ہے		ہے
جبکہ		جبکہ		جبکہ
شکیل		شکیل		شکیل
کے		کے		کا
علاوہ		علاوہ		علاوہ
ریحان		ریحان		ریحان
بٹ		بٹ		بٹ
اور		اور		اور
وسیم		وسیم		وسیم
احمد		احمد		احمد
کو		کو		کو
ٹیم		ٹیم		ٹیم
سے		سے		سے
اخراج		اخراج		اخراج
کا		کا		کا
شبہ		شبہ		شبہ
تھا		تھا		تھا
کیونکہ		کیونکہ		کیونکہ
ان		وہ		یہ
کے		کا		کا
تعلق		تعلق		تعلق
سے		سے		سے
اطلاعات		اطلاع		اطلاع
مےں		مےں		مےں
کہا		کہہ		کہہ
گیا		جا		جا
تھا		تھا		تھا
کہ		کہ		کہ
ان		وہ		یہ
تینوں		تین		تین
کو		کو		کو
ہندوستانی		ہندوستانی		ہندوستانی
ٹیم		ٹیم		ٹیم
مےں		مےں		مےں
باغی		باغی		باغی
لیگ		لیگ		لیگ
کی		کا		کا
جانب		جانب		جانب
سے		سے		سے
کھیلنے		کھیل		کھیل
کے		کے		کا
لیے		لیے		لیے
تیار		تیار		تیار
کر		کر		کر
لیا		لے		لے
گیا		جا		جا
ہے		ہے		ہے
تاہم		تاہم		تاہم
پاکستان		پاکستان		پاکستان
ہاکی		ہاکی		ہاکی
فیڈریشن		فیڈریشن		فیڈریشن
کے		کا		کا
سکریٹری		سکریٹری		سکریٹری
مسٹر		مسٹر		مسٹر
آصف		آصف		آصف
باجوا		باجوا		باجوا
نے		نے		نے
کہا		کہہ		کہہ
کہ		کہ		کہ
ان		وہ		یہ
تینوں		تین		تین
ہی		ہی		ہی
کھلاڑیوں		کھلاڑی		کھلاڑی
نے		نے		نے
پاکستان		پاکستان		پاکستان
ہاکی		ہاکی		ہاکی
فیڈریشن		فیڈریشن		فیڈریشن
کو		کو		کو
تیقن		تیقن		تیقن
دیا		دے		دے
ہے		ہے		ہے
کہ		کہ		کہ
وہ		وہ		وہ
باغی		باغی		باغی
لیگ		لیگ		لیگ
مےں		مےں		مےں
شامل		شامل		شامل
نہیں		نہیں		نہیں
ہونگے		ہو		ہو
NULL		null		UUll
اس		وہ		یہ
کے		کے		کا
بعد		بعد		بعد
انہیں		وہ		وہ
قومی		قومی		قومی
ٹیم		ٹیم		ٹیم
مےں		مےں		مےں
شامل		شامل		شامل
کر		کر		کر
لیا		لے		لے
گیا		جا		جا
ہے		ہے		ہے
۔		۔		۔
اس		وہ		یہ
کے		کے		کا
علاوہ		علاوہ		علاوہ
پنالٹی		پنالٹی		پنالٹی
کارنر		کارنر		کارنر
اسپیشلسٹ		اسپیشلسٹ		اسپیشلسٹ
سہیل		سہیل		سہیل
عباس		عباس		عباس
کو		کو		کو
بھی		بھی		بھی
ٹیم		ٹیم		ٹیم
مےں		مےں		مےں
شامل		شامل		شامل
کیا		کر		کر
گیا		جا		جا
ہے		ہے		ہے
تاہم		تاہم		تاہم
انہیں		وہ		وہ
قیادت		قیادت		قیادت
نہیں		نہیں		نہیں
سونپی		سونپ		سونپی
گئی		جا		جا
ہے		ہے		ہے
۔		۔		۔
ذیشان		ذیشان		ذیشان
اشرف		اشرف		اشرف
نے		نے		نے
خود		خود		خود
ہی		ہی		ہی
پہلے		پہلے		پہلا
NULL		null		UUll
واضح		واضح		واضح
کر		کر		کر
دیا		دے		دے
تھا		تھا		تھا
کہ		کہ		کہ
وہ		وہ		وہ
اذلان		اذلان		اذلان
شاہ		شاہ		شاہ
ہاکی		ہاکی		ہاکی
کپ		کپ		کپ
کے		کے		کا
لئے		لئے		لئے
دستیاب		دستیاب		دستیاب
نہیں		نہیں		نہیں
رہیں_گے		رہ		رہ
۔		۔		۔
اذلان		اذلان		اذلان
شاہ		شاہ		شاہ
کپ		کپ		کپ
کے		کے		کا
لئے		لئے		لئے
منتخبہ		منتخبہ		منتخبہ
ٹیم		ٹیم		ٹیم
مےں		مےں		مےں
عمران		عمران		عمران
شاہ		شاہ		شاہ
,		,		,
فرید		فرید		فرید
احمد		احمد		احمد
,		,		,
کاشف		کاشف		کاشف
شاہ		شاہ		شاہ
,		,		,
محمد		محمد		محمد
توصیف		توصیف		توصیف
,		,		,
ریحان		ریحان		ریحان
بٹ		بٹ		بٹ
,		,		,
وقاص		وقاص		وقاص
اکبر		اکبر		اکبر
,		,		,
محمد		محمد		محمد
زبیر		زبیر		زبیر
,		,		,
عمر		عمر		عمر
بھوٹا		بھوٹا		بھوٹا
,		,		,
محمد		محمد		محمد
راشد		راشد		راشد
,		,		,
حسین		حسین		حسین
خان		خان		خان
اور		اور		اور
محمد		محمد		محمد
عمران		عمران		عمران
جونئیر		جونئیر		جونئیر
بھی		بھی		بھی
شامل		شامل		شامل
ہیں		ہے		ہے
۔		۔		۔
سابق		سابق		سابق
پاکستانی		پاکستانی		پاکستانی
کرکٹ		کرکٹ		کرکٹ
کپتان		کپتان		کپتان
راشد		راشد		راشد
لطیف		لطیف		لطیف
نے		نے		نے
سابق		سابق		سابق
سری_لنکن		سری		سری_لنکن
کپتان		کپتان		کپتان
ہاشن		ہاشن		ہاشن
تلک		تلک		تلک
رتنے		رتنے		رتنے
کے		کا		کا
اس		وہ		یہ
ادعا		ادعا		ادعا
کی		کا		کا
تائید		تائید		تائید
کی		کر		کا
ہے		ہے		ہے
کہ		کہ		کہ
سری_لنکائی		سری		سری_لنکائی
کرکٹ		کرکٹ		کرکٹ
ٹیم		ٹیم		ٹیم
گذشتہ		گذشتہ		گذشتہ
تقریباً		تقریبا		تقریباً
دو		دو		دو
دہوں		دہ		دہ
سے		سے		سے
میچ		میچ		میچ
فکسنگ		فکسنگ		فکسنگ
مےں		مےں		مےں
ملوث		ملوث		ملوث
ہے		ہے		ہے
۔		۔		۔
یہ		یہ		یہ
آج		آج		آج
بھی		بھی		بھی
کینسر		کینسر		کینسر
کی		کا		کا
طرح		طرح		طرح
پھیل		پھیل		پھیل
رہی		رہ		رہ
ہے		ہے		ہے
۔		۔		۔
ان		وہ		یہ
کا		کا		کا
کہنا		کہہ		کہہ
ہے		ہے		ہے
کہ		کہ		کہ
انہیں		وہ		وہ
NULL		null		UUll
امید		امید		امید
ہے		ہے		ہے
کہ		کہ		کہ
جب		جب		جب
ہاشن		ہاشن		ہاشن
تلک		تلک		تلک
رتنے		رتنے		رتنے
میچ		میچ		میچ
فکسنگ		فکسنگ		فکسنگ
کے		کے		کا
تعلق		تعلق		تعلق
سے		سے		سے
پردے		پردہ		پردے
فاش		فاش		فاش
کریں_گے		کر		کر
تو		تو		تو
مزید		مزید		مزید
بڑے		بڑا		بڑا
کھلاڑیوں		کھلاڑی		کھلاڑی
کے		کا		کا
نام		نام		نام
سامنے		سامنے		سامنے
آئیں_گے		آ		آ
۔		۔		۔
لطیف		لطیف		لطیف
نے		نے		نے
کہا		کہہ		کہہ
کہ		کہ		کہ
وہ		وہ		وہ
تلک		تلک		تلک
رتنے		رتنے		رتنے
کو		کو		کو
شخصی		شخصی		شخصی
طور		طور		طور
پر		پر		پر
جانتے		جا		جان
ہیں		ہے		ہے
۔		۔		۔
انہوں		وہ		وہ
(		(		(
تلک		تلک		تلک
رتنے		رتنے		رتنے
)		)		)
نے		نے		نے
1993		1993		1993
-		-		-
94		94		94
مےں		مےں		مےں
بھی		بھی		بھی
اس		وہ		یہ
تعلق		تعلق		تعلق
سے		سے		سے
ان		وہ		یہ
سے		سے		سے
کچھ		کچھ		کچھ
کہا		کہہ		کہہ
تھا		تھا		تھا
۔		۔		۔
جہاں		جہاں		جہاں
تک		تک		تک
ذیلی		ذیلی		ذیلی
براعظم		براعظم		براعظم
کا		کا		کا
سوال		سوال		سوال
ہے		ہے		ہے
NULL		null		UUll
یہاں		یہاں		یہاں
کے		کا		کا
کھلاڑیوں		کھلاڑی		کھلاڑی
کو		کو		کو
تلک		تلک		تلک
رتنے		رتنے		رتنے
سے		سے		سے
زیادہ		زیادہ		زیادہ
کوئی		کوئی		کوئی
نہیں		نہیں		نہیں
جانتا		جا		جان
اور		اور		اور
اگر		اگر		اگر
وہ		وہ		وہ
حقائق		حقائق		حقائق
کو		کو		کو
بےنقاب		بےنقاب		بےنقاب
کریں_گے		کر		کر
تو		تو		تو
ہندوستان		ہندوستان		ہندوستان
,		,		,
پاکستان		پاکستان		پاکستان
اور		اور		اور
سری		سری		سری
لنکا		لنکا		لنکا
کے		کا		کا
کئی		کئی		کئی
سابق		سابق		سابق
کرکٹرس		کرکٹرس		کرکٹرس
بےنقاب		بےنقاب		بےنقاب
ہو		ہو		ہو
جائیں_گے		جا		جا
اور		اور		اور
ان		وہ		یہ
کے		کا		کا
نام		نام		نام
سامنے		سامنے		سامنے
آ		آ		آ
جائیں_گے		جا		جا
۔		۔		۔
راشد		راشد		راشد
لطیف		لطیف		لطیف
نے		نے		نے
جو		جو		جو
سابق		سابق		سابق
ٹسٹ		ٹسٹ		ٹسٹ
وکٹ		وکٹ		وکٹ
کیپر		کیپر		کیپر
بھی		بھی		بھی
ہےں		ہے		ہے
,		,		,
کہا		کہہ		کہہ
کہ		کہ		کہ
جہاں		جہاں		جہاں
تک		تک		تک
وہ		وہ		وہ
جانتے		جا		جان
ہےں		ہے		ہے
ان		وہ		یہ
کے		کا		کا
خیال		خیال		خیال
مےں		مےں		مےں
تلک		تلک		تلک
رتنے		رتنے		رتنے
اس		وہ		یہ
تعلق		تعلق		تعلق
سے		سے		سے
اپنے		اپنا		اپنا
عزم		عزم		عزم
کا		کا		کا
احترام		احترام		احترام
کریں_گے		کر		کر
اور		اور		اور
اگر		اگر		اگر
وہ		وہ		وہ
حقائق		حقائق		حقائق
کا		کا		کا
انکشاف		انکشاف		انکشاف
کرتے		کر		کر
ہےں		ہے		ہے
تو		تو		تو
یہ		یہ		یہ
ذیلی		ذیلی		ذیلی
براعظم		براعظم		براعظم
کے		کا		کا
کچھ		کچھ		کچھ
کھلاڑیوں		کھلاڑی		کھلاڑی
کے		کے		کا
لئے		لئے		لئے
انتہائی		انتہائی		انتہائی
تباہ_کن		تباہ_کن		تباہ_کن
ہوگا		ہو		ہو
تاہم		تاہم		تاہم
اگر		اگر		اگر
کوئی		کوئی		کوئی
معاملت		معاملت		معاملت
کر		کر		کر
لی		لے		لے
جاتی		جا		جا
ہے		ہے		ہے
تو		تو		تو
پھر		پھر		پھر
سب		سب		سب
کچھ		کچھ		کچھ
پوشیدہ		پوشیدہ		پوشیدہ
رہ		رہ		رہ
سکتا		سک		سک
ہے		ہے		ہے
۔		۔		۔
گذشتہ		گذشتہ		گذشتہ
ہفتے		ہفتہ		ہفتہ
اےک		اےک		اےک
انٹرویو		انٹرویو		انٹرویو
مےں		مےں		مےں
تلک		تلک		تلک
رتنے		رتنے		رتنے
نے		نے		نے
اعتراف		اعتراف		اعتراف
کیا		کر		کر
تھا		تھا		تھا
کہ		کہ		کہ
سری		سری		سری
لنکا		لنکا		لنکا
کی		کا		کا
ٹیم		ٹیم		ٹیم
1992		1992		1992
سے		سے		سے
میچ		میچ		میچ
فکسنگ		فکسنگ		فکسنگ
مےں		مےں		مےں
ملوث		ملوث		ملوث
ہے		ہے		ہے
۔		۔		۔
سری		سری		سری
لنکا		لنکا		لنکا
کے		کے		کا
لئے		لئے		لئے
83		83		83
ٹسٹ		ٹسٹ		ٹسٹ
اور		اور		اور
200		200		200
ونڈے		ونڈے		ونڈے
میچس		میچس		میچس
کھیلنے		کھیل		کھیل
والے		والا		والا
تلک		تلک		تلک
رتنے		رتنے		رتنے
نے		نے		نے
کہا		کہہ		کہہ
کہ		کہ		کہ
وہ		وہ		وہ
اپنے		اپنا		اپنا
الزامات		الزام		الزام
کو		کو		کو
درست		درست		درست
ثابت		ثابت		ثابت
کرنے		کر		کر
تیار		تیار		تیار
ہےں		ہے		ہے
اور		اور		اور
جو		جو		جو
لوگ		لوگ		لوگ
ملوث		ملوث		ملوث
ہےں		ہے		ہے
ان		وہ		یہ
کے		کا		کا
ناموں		نام		نام
کا		کا		کا
بھی		بھی		بھی
انکشاف		انکشاف		انکشاف
کریں_گے		کر		کر
۔		۔		۔
انٹرویو		انٹرویو		انٹرویو
کے		کے		کا
دوران		دوران		دوران
تلک		تلک		تلک
رتنے		رتنے		رتنے
کا		کا		کا
کہنا		کہہ		کہہ
تھا		تھا		تھا
کہ		کہ		کہ
میچ		میچ		میچ
فکسنگ		فکسنگ		فکسنگ
ایسی		ایسی		ایسا
چیز		چیز		چیز
ہے		ہے		ہے
جو		جو		جو
سری		سری		سری
لنکا		لنکا		لنکا
کرکٹ		کرکٹ		کرکٹ
مےں		مےں		مےں
کچھ		کچھ		کچھ
عرصہ		عرصہ		عرصہ
سے		سے		سے
ہے		ہے		ہے
۔		۔		۔
یہ		یہ		یہ
آج		آج		آج
بھی		بھی		بھی
کینسر		کینسر		کینسر
کی		کا		کا
طرح		طرح		طرح
پھیل		پھیل		پھیل
رہی		رہ		رہ
ہے		ہے		ہے
۔		۔		۔
ان		وہ		یہ
کی		کا		کا
معلومات		معلومات		معلومات
کے		کے		کا
مطابق		مطابق		مطابق
سری		سری		سری
لنکا		لنکا		لنکا
کرکٹ		کرکٹ		کرکٹ
مےں		مےں		مےں
1992		1992		1992
سے		سے		سے
میچ		میچ		میچ
فکسنگ		فکسنگ		فکسنگ
چل		چل		چل
رہی		رہ		رہ
ہے		ہے		ہے
۔		۔		۔
عالمی		عالمی		عالمی
رینکنگ		رینکنگ		رینکنگ
مےں		مےں		مےں
42		42		42
واں		واں		واں
مقام		مقام		مقام
رکھنے		رکھ		رکھ
والی		والا		والا
ونسی		ونسی		ونسی
نے		نے		نے
بارسیلونا		بارسیلونا		بارسیلونا
مےں		مےں		مےں
اپنی		اپنا		اپنا
کامیابیوں		کامیابی		کامیابی
کا		کا		کا
سلسلہ		سلسلہ		سلسلہ
بھی		بھی		بھی
وسیع		وسیع		وسیع
کر		کر		کر
لیا		لے		لے
ہے		ہے		ہے
اور		اور		اور
وہ		وہ		وہ
یہاں		یہاں		یہاں
14		14		14
میچس		میچس		میچس
جیت		جیت		جیت
چکی		چک		چک
ہےں		ہے		ہے
جبکہ		جبکہ		جبکہ
انہیں		وہ		وہ
صرف		صرف		صرف
اےک		اےک		اےک
مےں		مےں		مےں
شکست		شکست		شکست
ہوئی		ہو		ہو
ہے		ہے		ہے
۔		۔		۔
فائنل		فائنل		فائنل
مےں		مےں		مےں
انہوں		وہ		وہ
نے		نے		نے
چیک		چیک		چیک
جمہوریہ		جمہوریہ		جمہوریہ
کی		کا		کا
لوسی		لوسی		لوسی
راڈیکا		راڈیکا		راڈیکا
کو		کو		کو
4		4		4
-		-		-
6		6		6
,		,		,
6		6		6
-		-		-
2		2		2
,		,		,
NULL		null		UUll
6		6		6
-		-		-
2		2		2
سے		سے		سے
شکست		شکست		شکست
دے		دے		دے
کر		کر		کر
خطاب		خطاب		خطاب
جیت		جیت		جیت
لیا		لے		لے
۔		۔		۔
عالمی		عالمی		عالمی
رینکنگ		رینکنگ		رینکنگ
مےں		مےں		مےں
42		42		42
واں		واں		واں
مقام		مقام		مقام
رکھنے		رکھ		رکھ
والی		والا		والا
ونسی		ونسی		ونسی
نے		نے		نے
بارسیلونا		بارسیلونا		بارسیلونا
مےں		مےں		مےں
اپنی		اپنا		اپنا
کامیابیوں		کامیابی		کامیابی
کا		کا		کا
سلسلہ		سلسلہ		سلسلہ
بھی		بھی		بھی
وسیع		وسیع		وسیع
کر		کر		کر
لیا		لے		لے
ہے		ہے		ہے
اور		اور		اور
وہ		وہ		وہ
یہاں		یہاں		یہاں
14		14		14
میچس		میچس		میچس
جیت		جیت		جیت
چکی		چک		چک
ہےں		ہے		ہے
جبکہ		جبکہ		جبکہ
انہیں		وہ		وہ
صرف		صرف		صرف
اےک		اےک		اےک
مےں		مےں		مےں
شکست		شکست		شکست
ہوئی		ہو		ہو
ہے		ہے		ہے
۔		۔		۔
گذشتہ		گذشتہ		گذشتہ
سال		سال		سال
وہ		وہ		وہ
خطاب		خطاب		خطاب
حاصل		حاصل		حاصل
نہیں		نہیں		نہیں
کر		کر		کر
سکیں		سک		سک
تاہم		تاہم		تاہم
اطالوی		اطالوی		اطالوی
کھلاڑی		کھلاڑی		کھلاڑی
فرانسیسکا		فرانسیسکا		فرانسیسکا
شیوون		شیوون		شیوون
نے		نے		نے
خطاب		خطاب		خطاب
جیتا		جیت		جیت
تھا		تھا		تھا
۔		۔		۔
ونسی		ونسی		ونسی
نے		نے		نے
اپنے		اپنا		اپنا
کیرئیر		کیرئیر		کیرئیر
کا		کا		کا
چوتھا		چوتھا		چوتھا
خطاب		خطاب		خطاب
جیتنے		جیت		جیتن
کے		کے		کا
بعد		بعد		بعد
اظہار		اظہار		اظہار
خیال		خیال		خیال
کرتے		کر		کر
ہوئے		ہو		ہو
کہا		کہہ		کہہ
کہ		کہ		کہ
بارسیلونا		بارسیلونا		بارسیلونا
ان		وہ		یہ
کے		کے		کا
لئے		لئے		لئے
خوش_قسمت		خوش_قسمت		خوش_قسمت
رہا		رہ		رہ
ہے		ہے		ہے
اور		اور		اور
وہ		وہ		وہ
اسے		یہ		یہ
کافی		کافی		کافی
پسند		پسند		پسند
کرتی		کر		کر
ہےں		ہے		ہے
کیونکہ		کیونکہ		کیونکہ
وہ		وہ		وہ
یہاں		یہاں		یہاں
بہترین		بہترین		بہترین
ٹینس		ٹینس		ٹینس
کھیلتی		کھیل		کھیل
ہیں		ہے		ہے
۔		۔		۔
فائنل		فائنل		فائنل
مےں		مےں		مےں
حالانکہ		حالانکہ		حالانکہ
ونسی		ونسی		ونسی
کی		کا		کا
سرویس		سرویس		سرویس
کو		کو		کو
چھ		چھ		چھ
مرتبہ		مرتبہ		مرتبہ
بریک		بریک		بریک
کیا		کر		کر
گیا		جا		جا
لیکن		لیکن		لیکن
انہوں		وہ		وہ
نے		نے		نے
بھی		بھی		بھی
جوابی		جوابی		جوابی
انداز		انداز		انداز
مےں		مےں		مےں
بہترین		بہترین		بہترین
مظاہرہ		مظاہرہ		مظاہرہ
کیا		کر		کر
اور		اور		اور
مخالف		مخالف		مخالف
کھلاڑی		کھلاڑی		کھلاڑی
کی		کا		کا
سرویس		سرویس		سرویس
کو		کو		کو
بریک		بریک		بریک
کرتے		کر		کر
ہوئے		ہو		ہو
اپنی		اپنا		اپنا
سبقت		سبقت		سبقت
دوبارہ		دوبارہ		دوبارہ
حاصل		حاصل		حاصل
کی		کر		کا
۔		۔		۔
پہلے		پہلا		پہلا
سیٹ		سیٹ		سیٹ
مےں		مےں		مےں
انہیں		وہ		وہ
شکست		شکست		شکست
ہو		ہو		ہو
گئی		جا		جا
تھی		تھا		تھا
تاہم		تاہم		تاہم
دوسرے		دوسرا		دوسرا
اور		اور		اور
تیسرے		تیسرے		تیسرا
سیٹ		سیٹ		سیٹ
مےں		مےں		مےں
انہوں		وہ		وہ
نے		نے		نے
حریف		حریف		حریف
کھلاڑی		کھلاڑی		کھلاڑی
کو		کو		کو
سنبھلنے		سنبھل		سنبھل
کا		کا		کا
موقع		موقع		موقع
دئے		دے		دے
بغیر		بغیر		بغیر
بہترین		بہترین		بہترین
مظاہرہ		مظاہرہ		مظاہرہ
کیا		کر		کر
اور		اور		اور
خطاب		خطاب		خطاب
جیت		جیت		جیت
لیا		لے		لے
۔		۔		۔
سابق		سابق		سابق
سری_لنکائی		سری_لنکائی		سری_لنکائی
کپتان		کپتان		کپتان
کمار		کمار		کمار
سنگاکارا		سنگاکارا		سنگاکارا
نے		نے		نے
آج		آج		آج
کہا		کہہ		کہہ
کہ		کہ		کہ
یہ		یہ		یہ
شرم		شرم		شرم
کی		کا		کا
بات		بات		بات
ہے		ہے		ہے
کہ		کہ		کہ
کوئی		کوئی		کوئی
بھی		بھی		بھی
ہندوستانی		ہندوستانی		ہندوستانی
عالمی		عالمی		عالمی
چمپئن		چمپئن		چمپئن
ٹیم		ٹیم		ٹیم
کی		کا		کا
کوچنگ		کوچنگ		کوچنگ
کا		کا		کا
اہل		اہل		اہل
قرار		قرار		قرار
نہیں		نہیں		نہیں
دیا		دے		دے
گیا		جا		جا
ہے		ہے		ہے
۔		۔		۔
سنگاکارا		سنگاکارا		سنگاکارا
نے		نے		نے
کہا		کہہ		کہہ
کہ		کہ		کہ
حیرت		حیرت		حیرت
کی		کا		کا
بات		بات		بات
یہ		یہ		یہ
ہے		ہے		ہے
کہ		کہ		کہ
کئی		کئی		کئی
غیرمعمولی		غیرمعمولی		غیرمعمولی
کرکٹرس		کرکٹرس		کرکٹرس
کی		کا		کا
موجودگی		موجودگی		موجودگی
کے		کے		کا
باوجود		باوجود		باوجود
بی		بی		بی
سی		سی		سی
سی		سی		سی
آئی		آئی		آئی
نے		نے		نے
ان		وہ		یہ
مےں		مےں		مےں
سے		سے		سے
کسی		کوئی		کوئیییییییییی
کو		کو		کو
ٹیم		ٹیم		ٹیم
کی		کا		کا
کوچنگ		کوچنگ		کوچنگ
کا		کا		کا
اہل		اہل		اہل
نہیں		نہیں		نہیں
سمجھا		سمجھ		سمجھ
۔		۔		۔
انہوں		وہ		وہ
نے		نے		نے
کہا		کہہ		کہہ
کہ		کہ		کہ
یہاں		یہاں		یہاں
بےشمار		بےشمار		بےشمار
بہترین		بہترین		بہترین
کرکٹرس		کرکٹرس		کرکٹرس
ہےں		ہے		ہے
لیکن		لیکن		لیکن
شرم		شرم		شرم
کی		کا		کا
بات		بات		بات
ہے		ہے		ہے
کہ		کہ		کہ
بی		بی		بی
سی		سی		سی
سی		سی		سی
آئی		آئی		آئی
نے		نے		نے
کسی		کوئی		کوئیییییییییی
کو		کو		کو
بھی		بھی		بھی
قومی		قومی		قومی
ٹیم		ٹیم		ٹیم
کی		کا		کا
کوچنگ		کوچنگ		کوچنگ
کا		کا		کا
اہل		اہل		اہل
نہیں		نہیں		نہیں
سمجھا		سمجھ		سمجھ
ہے		ہے		ہے
۔		۔		۔
سنگاکارا		سنگاکارا		سنگاکارا
کے		کا		کا
خیال		خیال		خیال
مےں		مےں		مےں
کرکٹ		کرکٹ		کرکٹ
بورڈز		بورڈز		بورڈز
کے		کے		کا
لئے		لئے		لئے
یہ		یہ		یہ
اہمیت		اہمیت		اہمیت
کی		کا		کا
بات		بات		بات
ہے		ہے		ہے
کہ		کہ		کہ
وہ		وہ		وہ
گھریلو		گھریلو		گھریلو
کوچس		کوچس		کوچس
کی		کا		کا
خدمات		خدمت		خدمت
حاصل		حاصل		حاصل
کریں		کر		کر
۔		۔		۔
انہوں		وہ		وہ
نے		نے		نے
کہا		کہہ		کہہ
کہ		کہ		کہ
ایسا		ایسا		ایسا
کرنا		کر		کر
بہت		بہت		بہت
ضروری		ضروری		ضروری
ہے		ہے		ہے
۔		۔		۔
جس		جو		جو
طرح		طرح		طرح
گھریلو		گھریلو		گھریلو
کھلاڑیوں		کھلاڑی		کھلاڑی
کی		کا		کا
صلاحیتوں		صلاحیت		صلاحیت
کو		کو		کو
فروغ		فروغ		فروغ
دیتے		دے		دے
ہوئے		ہو		ہو
ان		وہ		یہ
کی		کا		کا
خدمات		خدمت		خدمت
حاصل		حاصل		حاصل
کی		کر		کا
جاتی		جا		جا
ہےں		ہے		ہے
اسی		وہ		یہ
طرح		طرح		طرح
